age	pCO2_Foster
340.00	299.46
340.50	318.48
341.00	321.74
341.50	297.31
342.00	331.21
342.50	425.02
343.00	489.35
343.50	548.45
344.00	564.74
344.50	551.14
345.00	522.39
345.50	514.32
346.00	510.03
346.50	518.31
347.00	542.51
347.50	563.37
348.00	585.47
348.50	620.29
349.00	644.64
349.50	648.88
350.00	647.81
350.50	668.68
351.00	681.12
351.50	698.35
352.00	699.26
352.50	621.12
353.00	579.88
353.50	576.33
354.00	588.87
354.50	593.52
355.00	589.04
355.50	583.19
356.00	583.12
356.50	589.88
357.00	585.70
357.50	586.41
358.00	572.86
358.50	575.10
359.00	590.22
359.50	646.14
360.00	699.76
360.50	721.04
361.00	704.84
361.50	654.83
362.00	637.95
362.50	627.41
363.00	803.60
363.50	905.53
364.00	851.18
364.50	830.05
365.00	832.07
365.50	813.17
366.00	776.76
366.50	773.96
367.00	800.26
367.50	809.37
368.00	797.64
368.50	808.39
369.00	809.75
369.50	795.75
370.00	810.78
370.50	819.49
371.00	840.04
371.50	872.29
372.00	935.36
372.50	969.96
373.00	956.91
373.50	948.43
374.00	983.06
374.50	1021.99
375.00	1052.02
375.50	1150.59
376.00	1253.40
376.50	1312.13
377.00	1335.43
377.50	1355.12
378.00	1363.35
378.50	1306.52
379.00	1271.95
379.50	1265.19
380.00	1269.38
380.50	1223.35
381.00	1104.42
381.50	1062.01
382.00	1053.50
382.50	1108.37
383.00	1136.65
383.50	1190.14
384.00	1220.28
384.50	1371.16
385.00	1407.40
385.50	1332.10
386.00	1264.56
386.50	1222.17
387.00	1176.16
387.50	1139.51
388.00	1064.60
388.50	979.58
389.00	1017.44
389.50	1082.25
390.00	1128.63
390.50	1093.36
391.00	1000.00
391.50	972.17
392.00	985.51
392.50	1010.92
393.00	1046.21
393.50	1077.35
394.00	1113.50
394.50	1191.59
395.00	1296.84
395.50	1669.14
396.00	1709.91
396.50	1759.59
397.00	1788.11
397.50	1785.28
398.00	1809.43
398.50	1818.73
399.00	1826.32
399.50	1775.45
400.00	1731.00
400.50	1786.44
401.00	1828.25
401.50	1841.36
402.00	1845.38
402.50	1848.32
403.00	1830.65
403.50	1833.66
404.00	1848.39
404.50	1685.23
405.00	1689.11
405.50	1726.08
406.00	1793.02
406.50	1985.84
407.00	2017.43
407.50	2021.18
408.00	2034.54
408.50	1957.23
409.00	2159.74
409.50	2165.27
410.00	2102.11
410.50	2059.99
411.00	2048.24
411.50	2039.91
412.00	2055.68
412.50	2061.56
413.00	2011.83
413.50	1925.58
414.00	1739.57
414.50	1649.22
415.00	1579.21
415.50	1528.61
416.00	1547.21
416.50	1568.45
417.00	1504.45
417.50	1435.26
418.00	1387.93
418.50	1354.84
419.00	1414.00
419.50	1443.91
