age	SL_Scotese
282	111.712876123447
283	109.284858720417
284	106.779580152925
285	104.584943680003
286	103.08885256068
287	102.679210053988
288	103.743919418956
289	106.670883914617
290	111.8480068
291	119.414905706626
292	128.518055755971
293	138.055646442004
294	146.925867258692
295	154.0269077
296	158.520547780179
297	160.622929594608
298	160.813785758947
299	159.572848888857
300	157.3798516
301	154.615190302258
302	151.261916582398
303	147.203745821409
304	142.32439340028
305	136.5075747
306	129.72880684039
307	122.3308138966
308	114.748121682617
309	107.415256012422
310	100.7667427
311	95.2457916663438
312	91.3303492604802
313	89.5070459384446
314	90.2625121562727
315	94.08337837
316	101.135349344955
317	110.300427083639
318	120.139687897845
319	129.214208099367
320	136.085064
321	139.666170709285
322	140.282798527755
323	138.613056553693
324	135.335053885379
325	131.126899621097
326	126.666702859126
