age	SL_Young_M21RD
186	-68.5596350414844
187	-68.2471635903935
188	-67.9423568896847
189	-67.619872157798
190	-67.2543666131739
191	-66.8204974742523
192	-66.2953185870732
193	-65.6873691851438
194	-65.0273667082329
195	-64.3464918401708
196	-63.6759252647872
197	-63.0468476659124
198	-62.4904397273762
199	-62.0378821330086
200	-61.7203515977497
201	-61.557626841255
202	-61.5331040900119
203	-61.6229359041863
204	-61.8032748439441
205	-62.0502734694513
206	-62.3400843408737
207	-62.6488600183772
208	-62.9527530621279
209	-63.2279160322915
210	-63.4505014890341
211	-63.5966992201383
212	-63.6525183750403
213	-63.6269082298505
214	-63.532088492182
215	-63.3802788696481
216	-63.1836990698621
217	-62.9545688004372
218	-62.7051077689867
219	-62.4475356831239
220	-62.1953863719786
221	-61.9799904777208
222	-61.8454827734421
223	-61.8362795601202
224	-61.996797138733
225	-62.3714518102583
226	-63.0046598756738
227	-63.9408376359574
228	-65.2244013920867
229	-66.87653434707
230	-68.7819676560483
231	-70.7757764002594
232	-72.6929644090069
233	-74.3685355115947
234	-75.6374935373264
235	-76.3348423155058
236	-76.2955856754367
237	-75.3547974911945
238	-73.4034100543758
239	-70.4886402283324
240	-66.6848288138884
241	-62.0663166118681
242	-56.7074444230957
243	-50.6825530483954
244	-44.0659832885915
245	-36.9320759445081
246	-29.3551718169695
247	-21.4096117068
248	-13.1697364148236
249	-4.71247222707348
250	3.86361899670461
251	12.4491927835411
252	20.934825680491
253	29.2110942346088
254	37.1685749929496
255	44.6978445025681
256	51.689479310519
257	58.0340559638573
258	63.6223643994639
259	68.3951052592799
260	72.406723417379
261	75.7274309347589
262	78.4274398724176
263	80.5769622913528
264	82.2462102525624
265	83.5053958170443
266	84.4247310457964
267	85.0744279998164
268	85.5246987401021
269	85.8457553276516
270	86.1078098234625
271	86.3808731438486
272	86.7326177457004
273	87.2292073300093
274	87.9367804485819
275	88.9214756532249
276	90.2494314957449
277	91.9867865279485
278	94.1996793016424
279	96.9542483686333
280	100.316632280728
281	104.352969589732
282	109.128656111711
283	114.645836954824
284	120.796027891721
285	127.459587497968
286	134.516874349129
287	141.848247020769
288	149.334064088453
289	156.854684127747
290	164.290465714214
291	171.534883711512
292	178.570184893132
293	185.415419102775
294	192.089754622362
295	198.612359733814
296	205.002402719052
297	211.279051859995
298	217.461475438566
299	223.568822971535
300	229.615264273148
301	235.603321303594
302	241.533853179462
303	247.40771901734
304	253.225777933817
305	258.988889045482
306	264.697911468924
307	270.353704320731
308	275.95621329613
309	281.496328739157
310	286.959764486102
311	292.332173614681
312	297.599209202616
313	302.746524327624
314	307.759772067424
315	312.624605499736
316	317.326677702277
317	321.851779101105
318	326.189501314296
