p_lat	p_lng
37.7009	14.4312
41.7246	7.3756
44.0996	17.1203
44.1118	17.3645
44.3594	24.7025
40.6577	10.906
40.6007	10.8078
41.1386	13.1006
41.0027	11.776
41.6334	10.3873
41.7591	10.1379
41.7426	9.6763
41.6409	10.3617
41.3863	11.062
41.1273	11.5297
41.0791	11.5965
41.1266	11.4476
41.2818	11.1473
42.0716	9.4784
41.9977	9.622
42.0557	8.267
41.9032	9.9099
41.9922	9.6426
37.5466	14.537
42.1358	8.267
41.9696	9.7528
42.2049	9.5358
42.6072	16.8172
43.9381	15.5226
44.1193	15.6176
43.7651	15.259
44.0031	15.9056
44.0031	15.9056
43.7106	15.4714
43.5409	15.7041
43.8302	15.2573
32.586	9.4798
32.3594	9.7391
32.2457	10.2023
36.4414	34.6968
36.4272	9.7998
41.7857	9.974
33.0136	8.524
41.8488	8.6238
41.6826	9.914
41.3795	8.0755
41.6901	10.2603
41.8256	9.6864
41.6434	9.9584
41.7096	10.2309
41.7644	9.4451
41.9288	8.6244
41.7227	10.2397
41.7572	10.1042
41.751	10.0943
41.4144	7.7178
41.9932	9.8895
41.9932	9.8895
41.877	9.6561
41.6362	8.7948
41.9052	10.2621
41.9006	10.1787
41.848	9.9896
41.8308	9.5275
41.7302	10.2141
42.596	16.8329
43.927	15.5389
43.6809	15.2733
43.7655	15.0832
43.7541	15.2753
43.5329	15.3537
43.6996	15.4876
43.5298	15.7202
43.8117	16.4583
43.8192	15.2736
43.1631	15.0936
41.7396	8.8127
41.5708	10.1001
41.5316	10.1443
41.7361	10.1762
41.6179	10.3998
42.1133	9.4176
42.0336	9.565
42.0184	9.642
42.0395	9.5614
42.0963	8.2054
42.0206	9.6529
41.6244	7.659
41.9452	9.8496
42.0105	9.6915
42.034	9.582
41.9645	9.8199
42.0157	9.0306
42.0822	9.9285
42.1763	8.2052
42.0416	9.5638
42.0115	9.6923
42.0053	9.6824
42.038	9.5809
42.2466	9.4748
41.8918	9.5769
41.8845	8.3788
42.0825	9.1127
43.9382	15.138
42.7187	16.7059
43.7999	15.1383
43.4964	15.8096
43.8191	15.353
43.9335	16.3252
43.616	15.2877
44.0996	17.1203
44.1118	17.3645
44.4865	24.0104
41.2808	11.3924
41.4604	10.7856
41.3574	10.9288
41.498	11.5215
41.2036	11.2559
41.1557	11.3231
41.2025	11.1737
41.4175	10.6809
41.3474	10.7638
41.5399	10.389
41.3564	10.8718
41.4264	10.7839
42.0128	9.597
41.9183	9.8851
42.0037	9.5491
42.0148	9.5995
42.0561	9.1487
42.6493	16.7587
43.7331	15.1962
43.6764	15.1821
43.7519	15.4107
43.5823	15.6438
43.8647	16.3821
43.8713	15.1964
41.8116	8.6881
41.6446	9.9773
41.7664	9.6713
41.7877	9.75
41.8818	9.9301
41.9242	10.0081
41.952	7.2685
41.8916	8.6887
41.6845	10.3029
41.8392	9.7197
41.81	10.0531
41.793	9.5912
41.692	10.2773
41.8686	8.5896
41.7029	9.8803
41.6637	9.9248
41.7845	9.4112
41.9486	8.5901
41.7431	10.2061
41.6561	8.7608
41.8683	9.9559
41.8509	9.4936
41.7506	10.1805
37.7009	14.4312
32.586	9.4798
32.8159	10.1458
41.9501	8.4491
42.6156	16.8055
42.6156	16.8055
43.7436	15.1158
43.7734	15.2468
43.5329	15.3537
43.7189	15.4593
43.5492	15.692
43.5492	15.692
43.8384	15.2451
43.8384	15.2451
37.5385	14.548
37.5385	14.548
37.5385	14.548
43.955	23.3938
42.0866	9.4534
41.9916	9.6776
42.0704	8.2417
42.0583	9.2062
41.599	7.6949
41.9376	9.8554
42.1505	8.2416
42.0148	9.5995
41.9847	9.7279
42.22	9.5107
41.8585	8.4148
42.0561	9.1487
43.7331	15.1962
44.0447	15.8449
43.6606	17.285
44.0011	17.4492
43.9359	17.281
43.7655	15.0832
43.7436	15.1158
43.6023	15.2915
43.7321	15.3078
43.5329	15.3537
43.6775	15.5201
43.5077	15.7525
43.8075	15.3644
43.7972	15.3062
42.0435	8.2881
41.962	9.1124
41.957	9.7736
41.8315	8.461
42.0287	9.1947
41.8438	8.6324
41.6775	9.9225
41.6383	9.9668
41.9239	8.6329
41.7176	10.2482
41.6312	8.8033
41.843	9.9981
41.8258	9.536
41.7251	10.2225
42.203	9.3343
42.1088	9.5596
42.1297	9.4787
42.3699	9.0458
42.1823	8.1206
42.1152	9.5746
41.7088	7.576
42.0363	9.7679
42.1011	9.6092
42.0555	9.7381
42.1205	9.4307
42.1043	8.9473
42.2623	8.1199
42.1038	9.5989
42.1021	9.61
42.0959	9.6001
42.1282	9.4983
42.1714	9.0292
41.5861	10.0746
41.7295	9.8478
41.5468	10.1189
41.7142	9.7049
41.8345	8.7876
41.6257	10.4
41.781	9.8177
41.7514	10.1506
41.735	9.6891
41.6333	10.3744
41.9968	9.6173
41.9815	9.6942
42.0027	9.6137
42.0606	8.2586
41.5893	7.7117
41.9082	9.9016
41.9972	9.6342
41.9276	9.872
41.9794	9.0831
42.1407	8.2585
41.9747	9.7445
41.9684	9.7346
42.2099	9.5274
41.8487	8.4316
42.0461	9.1654
44.1118	17.3645
43.3203	14.932
41.7486	8.2107
42.0861	9.5186
42.1407	8.1615
41.668	7.616
