Latitude	Longitude	Min_Ma	Max_Ma
52.6783	9.7581	142.5	144.1
52.0007	6.8032	142.5	144.1
50.668	-1.2504	142.7	143.1
50.9759	0.3055	142.7	143.1
51.061	-1.2908	142.7	143.1
50.599	-1.9533	142.7	143.1
50.8752	0.6412	142.7	143.1
50.9441	0.4584	142.7	143.1
50.9678	0.249	142.7	143.1
50.9635	-0.3212	142.7	143.1
51.1405	-1.2881	142.7	143.1
50.9783	0.3094	142.7	143.1
50.945	0.4591	142.7	143.1
50.6168	-2.2233	142.7	143.1
50.9394	0.4467	142.7	143.1
50.9742	0.3289	142.7	143.1
51.1855	0.2136	142.7	143.1
50.651	-2.366	142.7	143.1
50.6646	-2.4669	142.7	143.1
51.0563	-2.0723	142.7	143.1
51.0289	-0.2206	142.7	143.1
52.9925	17.4886	140.7	143.1
52.9925	17.4886	143.1	144.4
51.0529	0.1396	141.9	146.9
51.816	-0.8166	141.9	146.9
50.9529	0.4004	141.9	146.9
51.061	-1.2908	141.9	146.9
50.599	-1.9533	141.9	146.9
50.8752	0.6412	141.9	146.9
50.9441	0.4584	141.9	146.9
50.8954	0.6074	141.9	146.9
50.9678	0.249	141.9	146.9
51.1405	-1.2881	141.9	146.9
50.9783	0.3094	141.9	146.9
50.945	0.4591	141.9	146.9
50.9394	0.4467	141.9	146.9
51.1855	0.2136	141.9	146.9
50.651	-2.366	141.9	146.9
50.8669	0.4273	141.9	146.9
51.5499	-1.7818	141.9	146.9
51.0289	-0.2206	141.9	146.9
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
42.2118	-2.2377	121.4	132.6
42.1511	-2.2698	121.4	132.6
42.059	-1.8637	121.4	132.6
50.9759	0.3055	139.5	141.7
51.061	-1.2908	139.5	141.7
50.599	-1.9533	139.5	141.7
