Taxon_name	Status	Min_Ma	Max_Ma
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_caudata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	123.3	124.1
Cypridea_clavata	extinct	123.3	124.1
Cypridea_clavata	extinct	123.3	124.1
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_coelnothi	extinct	142.5	143.4
Cypridea_comptonensis	extinct	122.6	123.3
Cypridea_comptonensis	extinct	122.6	123.3
Cypridea_comptonensis	extinct	122.6	123.3
Cypridea_comptonensis	extinct	122.6	123.3
Cypridea_cuckmerensis	extinct	121.4	123
Cypridea_cuckmerensis	extinct	121.4	123
Cypridea_cuckmerensis	extinct	121.4	123
Cypridea_cuckmerensis	extinct	121.4	123
Cypridea_cuckmerensis	extinct	121.4	123
Cypridea_cuckmerensis	extinct	121.4	123
Cypridea_darvelensis	extinct	140.8	142
Cypridea_darvelensis	extinct	140.8	142
Cypridea_darvelensis	extinct	140.8	142
Cypridea_darvelensis	extinct	140.8	142
Cypridea_darvelensis	extinct	140.8	142
Cypridea_darvelensis	extinct	140.8	142
Cypridea_darvelensis	extinct	140.8	142
Cypridea_darvelensis	extinct	140.8	142
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_delicatula	extinct	142.6	143.4
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dolabrata	extinct	137.7	141.7
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dorsispinata	extinct	127.9	132.6
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
Cypridea_dunkeri	extinct	142.6	147.1
