Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment
98	Cypridea suspecta	0.1609	10.058	-8.4882	-3.7561	140.2	141.9	WAf
99	Cypridea tchibodaensis	-4.2331	11.4665	-15.4251	-3.9033	121.4	122.3	WAf
100	Cypridea tertia	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf
101	Cypridea tucanoensis	0.1609	10.058	-8.8594	-3.6099	134	141.9	WAf
102	Cypridea ultima	1.0941	23.6876	-17.0784	10.3248	116.1	121.7	WAf
103	Cypridea ventronodata	0.1609	10.058	-9.2545	-3.454	130.9	138.4	WAf
104	Cypridea ventronodata	-2.166	9.4905	-10.9397	-5.1828	130.9	138.4	WAf
105	Cypridea yakokoensis	0.0341	24.0999	-18.2125	10.2357	116.1	121.7	WAf
106	Paracypridea brasiliensis	0.1609	10.058	-9.2545	-3.454	130.9	138.4	WAf
107	Paracypridea elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf
108	Paracypridea elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf
109	Paracypridea elegans	0.1609	10.058	-9.6616	-3.2933	128.5	134	WAf
110	Paracypridea maacki	0.1609	10.058	-9.1767	-3.4847	132.2	138.4	WAf
111	Paracypridea obovata	0.1609	10.058	-10.0089	-3.156	125.8	130.9	WAf
112	Paracypridea similis	0.1609	10.058	-9.7694	-3.2507	128.5	132.2	WAf
113	Cypridea brevicornis	42.5542	-110.8076	43.2375	-68.3987	105	110	NAm
114	Cypridea brevicornis	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm
115	Cypridea brevicornis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
116	Cypridea brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
117	Cypridea brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
118	Cypridea brevicornis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm
119	Cypridea brevicornis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm
120	Cypridea compta	43.7987	-107.0654	44.0334	-60.5306	98	124	NAm
121	Cypridea compta	42.8763	-108.7997	43.7974	-65.5393	98	124	NAm
122	Cypridea compta	42.0851	-110.9571	42.0842	-71.1339	99	105	NAm
123	Cypridea compta	42.7728	-107.2523	42.8732	-62.9635	105	110	NAm
