age	SL_Marcilly_ML
109	158.263314543234
110	157.05
111	158.496980363398
112	162.242741639424
113	167.751659288892
114	174.488108772618
115	181.916465551416
116	189.501105086101
117	196.706402837487
118	202.996734266389
119	207.836474833622
120	210.69
121	211.167869220342
122	209.465377925482
123	205.92400554026
124	200.885231489514
125	194.690535198083
126	187.681396090804
127	180.199293592518
128	172.585707128063
129	165.182116122278
130	158.33
131	152.305082755235
132	147.120066658647
133	142.721898550067
134	139.057525269326
135	136.073893656254
136	133.717950550681
137	131.936642792439
138	130.676917221358
139	129.885720677268
140	129.51
141	129.512899758719
142	129.92235543993
143	130.782500259472
144	132.137467433183
145	134.031390176903
146	136.508401706471
147	139.612635237726
148	143.388223986506
149	147.879301168651
150	153.13
151	159.128198209888
152	165.636751581631
153	172.362260412045
154	179.011324997941
155	185.290545636133
156	190.906522623434
157	195.565856256658
158	198.975146832619
159	200.840994648128
160	200.87
161	198.85153740173
162	194.906078233544
163	189.23686809235
164	182.047152575054
165	173.540177278566
166	163.919187799792
167	153.387429735641
168	142.14814868302
169	130.404590238837
170	118.36
171	106.216542183191
172	94.1720554841917
173	82.4232972185569
174	71.1670247018426
175	60.5999952496044
176	50.9189661773978
177	42.3206948007784
178	35.001938435302
179	29.1594543965239
180	24.99
181	22.6195238655048
182	21.890739829689
183	22.5755530334226
184	24.4458686175752
185	27.2735917230167
186	30.8306274906168
187	34.8888810612454
188	39.2202575757723
189	43.5966621750672
190	47.79
191	51.5984223547896
192	54.9250651970521
193	57.6993106477527
194	59.8505408278565
195	61.3081378583288
196	62.0014838601348
197	61.8599609542398
198	60.8129512616088
199	58.7898369032071
200	55.72
201	51.5955567153366
202	46.6595593821024
203	41.2177943755666
204	35.5760480709987
205	30.0401068436679
206	24.9157570688438
207	20.5087851217955
208	17.1249773777926
209	15.0701202121043
210	14.65
211	16.0604907838638
212	19.0578172745383
213	23.2882918499808
214	28.3982268881487
215	34.0339347669994
216	39.84172786449
217	45.4679185585781
218	50.5588192272209
219	54.7607422483758
220	57.72
221	59.1787601492083
222	59.2626115197446
223	58.1929982245102
224	56.1913643764065
225	53.4791540883347
226	50.2778114731961
227	46.808780643892
228	43.2935057133238
229	39.9534307943927
230	37.01
231	34.6466286193031
232	32.8946166464834
233	31.7472352519783
234	31.1977556062254
235	31.239448879662
236	31.8655862427257
237	33.0694388658539
238	34.844277919484
239	37.1833745740536
240	40.08
241	43.5011953735793
242	47.3090818943219
243	51.3395507675765
244	55.428493198692
245	59.4118003930173
246	63.1253635559012
247	66.4050738926925
248	69.0868226087402
249	71.0065009093931
250	72
251	71.9815098863795
252	71.178415776229
253	69.8964016777157
254	68.4411515990066
255	67.1183495482689
256	66.2336795336696
257	66.092825563376
258	67.0014716455551
259	69.2653017883741
260	73.19
261	78.9649550809026
262	86.314375000762
263	94.8461725215608
264	104.168260405282
265	113.888551413907
266	123.61495830942
267	132.955393853803
268	141.517770809039
269	148.910001937111
270	154.74
271	158.71444979001
272	160.935124220723
273	161.602568236041
274	160.917326779867
275	159.079944796102
276	156.290967228649
277	152.75093902141
278	148.660405118287
279	144.219910463183
280	139.63
281	135.075105759057
282	130.675208116346
283	126.534174534274
284	122.755872475251
285	119.444169401685
286	116.702932775984
287	114.636030060556
288	113.347328717811
289	112.940696210156
290	113.52
291	115.149277173761
292	117.733243313893
293	121.136783626861
294	125.224783319128
295	129.862127597159
296	134.913701667416
297	140.244390736365
298	145.71908001047
299	151.202654696193
300	156.56
301	161.648355545899
302	166.294378628081
303	170.317080958282
304	173.535474248236
305	175.768570209681
306	176.835380554351
307	176.554916993982
308	174.74619124031
309	171.228215005071
310	165.82
311	158.456270642642
312	149.534602173782
313	139.568282540013
314	129.070599687927
315	118.554841564118
316	108.53429611518
317	99.522251287706
318	92.031995028289
319	86.5768152835226
320	83.67
321	83.6525918835308
322	86.1766526767899
323	90.7219988816681
324	96.7684470000566
325	103.795813533846
326	111.283914984928
327	118.712567855194
328	125.561588646533
329	131.310793860839
330	135.44
331	137.579271823234
332	137.959667119058
333	136.962491933315
334	134.969052311847
335	132.360654300496
336	129.518603945106
337	126.824207291519
338	124.658770385577
339	123.403599273123
340	123.44
341	125.017760823533
342	127.860598846977
343	131.560713385072
344	135.710303752556
345	139.901569264169
346	143.726709234647
347	146.777922978731
