age	SL_Verard
230	103.122287259764
231	99.2896030909835
232	94.0876295931428
233	87.6797522554719
234	80.2300588930705
235	71.9290861945584
236	63.0012427990282
237	53.6608611257125
238	44.0690383240946
239	34.3721849572114
240	24.5567700298911
241	14.1821003413091
242	3.29534277092874
243	-6.4432052661169
244	-13.7694080808301
245	-19.5603749041565
246	-24.9578607607917
247	-30.1551631138429
248	-34.9806989213377
249	-39.262122380172
250	-42.8270876872417
251	-45.5057683055303
252	-47.2375081007141
253	-48.1103317028902
254	-48.2229221901477
255	-47.6739626405759
256	-46.5621361322639
257	-44.9861257433011
258	-43.0446145517767
259	-40.8361457255466
260	-38.44596206914
261	-35.9352277087888
262	-33.3625701426433
263	-30.7866168688538
264	-28.2659953855703
265	-25.8593331909433
266	-23.6252577831227
267	-21.6222886217564
268	-19.8939998021882
269	-18.4538732001407
270	-17.3117797012775
271	-16.4775901912619
272	-15.9611755557572
273	-15.7724066804267
274	-15.9211544509339
275	-16.4172897529421
276	-17.2705013332417
277	-18.4689447725448
278	-19.9592242762221
279	-21.6832074237463
280	-23.5827617945901
281	-25.5997549682261
282	-27.676054524127
283	-29.7535280417655
284	-31.7740431006143
285	-33.6795953228817
286	-35.4197520647561
287	-36.9557535824878
288	-38.2498368921488
289	-39.2642390098109
290	-39.9611969515461
291	-40.3029477334263
292	-40.2517283715233
293	-39.7697758819091
294	-38.8202683992918
295	-37.399292461684
296	-35.5436701747429
297	-33.2927525715242
298	-30.6858906850835
299	-27.7624355484764
300	-24.5617381947584
301	-21.1171070969162
302	-17.3395486732301
303	-13.0263719054541
304	-7.97056701058401
305	-2.06154068493138
306	4.25702669879426
307	10.343775085903
308	15.5890114141953
309	19.7961206014123
310	23.0564540264768
311	25.4672260094973
312	27.1256508705823
313	28.1289429298404
314	28.5741628973501
315	28.4926459518753
316	27.7479511966935
317	26.1772526295497
318	23.6177242481885
319	19.9065400503549
320	14.8809184658159
321	8.52064361353606
322	1.26454202682908
323	-6.35694245063095
324	-13.8968535176411
325	-21.076999429797
326	-27.6395353255045
327	-33.3266163431695
328	-37.920700052457
329	-41.4270931356959
330	-43.927700280907
331	-45.5044959858108
332	-46.2394547481279
333	-46.2145510655786
334	-45.5117594358835
335	-44.2130543567631
336	-42.4004103259379
337	-40.1529942847748
338	-37.4692544820553
339	-34.2567800124499
340	-30.4183154142865
341	-25.8566052258935
342	-20.479461549443
343	-14.32613639957
344	-7.5761655186009
345	-0.415923327187247
346	6.94711384332054
347	14.1157558782971
348	20.5927040187086
349	26.1058797946375
350	31.043901016349
351	35.9154070597497
352	41.2290074343094
353	47.2538543836236
354	53.4406735725214
355	59.0654869120952
356	63.4905999048887
357	66.6958479439089
358	68.9301487862406
359	70.4435329699526
360	71.4860310331143
361	72.3076735137945
362	73.1584909500624
363	74.2812890829918
364	75.7633622990793
365	77.542194434995
366	79.5491851899217
367	81.7157342630423
368	83.9732413535393
369	86.2531061605956
370	88.4867283833941
371	90.6063534250028
372	92.5756089608368
373	94.3980452503661
374	96.0797974004638
375	97.6270005180025
376	99.0457897098552
377	100.342300082895
378	101.522666743994
379	102.593024800025
380	103.559345601881
381	104.42366933095
382	105.184011214115
383	105.838203962009
384	106.384080285262
385	106.819472894509
386	107.14221450038
387	107.350137813508
388	107.441075544526
389	107.413428230948
390	107.275034663526
391	107.041513243081
392	106.728714579716
393	106.352489283532
394	105.92868796463
395	105.473161233111
396	105.001759699078
397	104.530333972632
398	104.075287193718
399	103.659676974947
400	103.310966588804
401	103.056697957031
402	102.924413001369
403	102.941653643558
404	103.135961805342
405	103.534879408461
406	104.165948374656
407	105.051607719682
408	106.168365664473
409	107.468422313978
410	108.903756369908
411	110.426346533971
412	111.988171507876
413	113.541209993332
414	115.037440692048
415	116.428842305731
416	117.670528243702
417	118.739142989008
418	119.620376232436
419	120.299948857626
420	120.763581748217
421	120.996995787845
422	120.985911860151
423	120.716050848772
424	120.173133637347
425	119.350372613286
426	118.280766775818
427	117.010472179394
428	115.585653248345
429	114.052474407006
430	112.45710007971
431	110.845694690791
432	109.264422664582
433	107.759448425416
434	106.373308566485
435	105.133541265271
436	104.063809262781
437	103.187775295025
438	102.529102098011
439	102.111452407749
440	101.958488960249
441	102.093874491518
442	102.541269139815
443	103.315769813935
444	104.404844079426
445	105.790397633755
446	107.454336174386
447	109.378565398787
448	111.544991004422
449	113.935518688758
450	116.531884337778
451	119.307931542981
452	122.226435137724
453	125.249341979259
454	128.338598924839
455	131.456152831715
456	134.56395055714
457	137.62515562127
458	140.609802855503
459	143.490336925209
460	146.239205097196
461	148.828854638268
462	151.231732815234
463	153.420286894899
464	155.366956574902
465	157.042218029369
466	158.411975635473
467	159.44148446314
468	160.095999582301
469	160.340776062885
470	160.141068974821
471	159.462133388038
472	158.269224372464
473	156.527850689853
474	154.229414201168
475	151.413208554366
476	148.123709525237
477	144.405392889569
478	140.302734423151
479	135.860209901773
480	131.135159407778
481	126.285445990861
482	121.516211039721
483	117.032870975703
484	113.027685852317
485	109.57025522241
486	106.663391328196
487	104.309236396893
488	102.50993265572
489	101.267622331895
490	100.584179496029
