age	GMST_Valdes_Foster
272	17.6580323056823
273	17.8084091543366
274	18.0515729307505
275	18.3907861390715
276	18.7413630742879
277	19.0220533011992
278	19.2046205660943
279	19.3024797256945
280	19.3301667546367
281	19.3022176275574
282	19.2331683190936
283	19.1375548038818
284	19.0299130565589
285	18.9243528024541
286	18.8269196312383
287	18.7364572516967
288	18.6515562658761
289	18.5708072758237
290	18.4928008835862
291	18.4161276912106
292	18.3393776827429
293	18.2600890413627
294	18.1725942605522
295	18.0706172919535
296	17.9478820872085
297	17.7981125979593
298	17.6173678829698
299	17.4146389169904
300	17.2033682571678
301	16.997002570299
302	16.8089885231811
303	16.652767167597
304	16.5367476948047
305	16.4550502921184
306	16.3992759858219
307	16.3610258021993
308	16.3319007675345
309	16.3035019081115
310	16.2674302502143
311	16.2152868201268
312	16.1393017987893
313	16.0441605922959
314	15.9459775130275
315	15.8612902882885
316	15.8066366453834
317	15.7985543116164
318	15.8478228435239
319	15.9394464693854
320	16.0512201965827
321	16.1609386927802
322	16.246396625642
323	16.2853886628323
324	16.2557094720155
325	16.1351537208556
326	15.9015160770169
327	15.5338003715244
328	15.0504484429084
329	14.5171404051375
330	14.0023415350114
331	13.57451710933
332	13.302132404893
333	13.2536526985002
334	13.4975432669513
335	14.1022693870463
336	14.9769776900254
337	14.8966221201706
338	13.9815315177631
339	13.5391241529287
340	14.0234052034913
341	15.0532118370748
342	16.2174425710788
343	17.1651550918845
344	17.7512606675931
345	18.0402720269653
346	18.1377361962375
347	18.1471438517175
348	18.1249187694896
349	18.0805613852355
350	18.021543189477
351	17.955335672736
352	17.8894103255341
353	17.8312386383931
354	17.7882921018349
355	17.7680422063812
356	17.7779604425538
357	17.8236867570162
358	17.902833880841
359	18.0108160291845
360	18.1430473604946
361	18.2949420332191
362	18.4619142058059
363	18.6388996619758
364	18.8182779890038
365	18.9915784702758
366	19.1503298159098
367	19.2860607360238
368	19.3903776613375
369	19.4625480345366
370	19.5158621157932
371	19.5651079283256
372	19.6250734953521
373	19.710546840091
374	19.8363159857606
375	20.0168400290102
376	20.2477016069463
377	20.4957084370773
378	20.7254512201511
379	20.9163660915351
380	21.0725968362109
381	21.2006241699121
382	21.306928808372
383	21.3979903306175
384	21.4790570324454
385	21.5518003127502
386	21.6172456926278
387	21.6764186931737
388	21.7303448354839
389	21.7800496406539
390	21.8265586297795
391	21.8708973239565
392	21.9140912442805
393	21.9570998998306
394	21.99979520198
395	22.0411576199489
396	22.0801413291507
397	22.1157005049988
398	22.1467893229064
399	22.1723619582869
400	22.1913725865536
401	22.2027753831199
402	22.2055245475406
403	22.1988864381372
404	22.1832203270954
405	22.1591245349477
406	22.1271973822262
407	22.0880371894631
408	22.0422422771907
409	21.9904109659412
410	21.9331415762469
411	21.8710324286401
412	21.8046556915655
413	21.7340169115911
414	21.6585737373487
415	21.5777614114963
416	21.4910151766918
417	21.3977702755934
418	21.2975003808812
419	21.1908272201907
420	21.0796898945369
421	20.9660999996749
422	20.8520691313596
423	20.7396088853462
424	20.6307102384537
425	20.5264688218728
426	20.4267598151725
427	20.3313707956569
428	20.2400893406299
429	20.1527030273956
430	20.0689994332579
431	19.9887661355209
432	19.9117907114885
433	19.8378607384648
434	19.7669332449257
435	19.7000341049978
436	19.6386048208779
437	19.5840878234398
438	19.5379255435572
439	19.501560412104
440	19.4764348599538
441	19.4639913179804
442	19.4656722170576
443	19.48290352845
444	19.5160093709802
445	19.56353682624
446	19.6238717325557
447	19.6953999282531
448	19.7765072516583
449	19.8655795410973
450	19.9610026348962
451	20.0611354226747
452	20.1637712818843
453	20.26616669828
454	20.3655569378456
455	20.4591772665645
456	20.5442629504205
457	20.6180492553971
458	20.6777714474782
459	20.7210619369982
460	20.7493616291323
461	20.7662322608785
462	20.7752584745864
463	20.7800249126059
464	20.7841162172867
465	20.7911170309785
466	20.804611996031
467	20.828185754794
468	20.8654146083227
469	20.9178505835263
470	20.982396622574
471	21.0553055285491
472	21.1328301045346
473	21.2112231536135
474	21.286737478869
475	21.3556258833841
476	21.4141411702419
477	21.4585361425254
478	21.4853495158539
479	21.4945494909059
480	21.4883681121271
481	21.4690775266018
482	21.4389498814145
483	21.4002573236499
484	21.3552720003923
485	21.3062660587262
486	21.2555116457361
487	21.2052804744261
488	21.1575392161648
489	21.1134153501256
490	21.073893296405
491	21.0399574750996
492	21.012592306306
493	20.9927822101207
494	20.9815116066403
495	20.9797649159613
496	20.9885265581804
497	21.0086716506995
498	21.0394059753451
499	21.0786327239962
500	21.1242205528612
501	21.1740381181488
502	21.2259540760674
503	21.2778370828255
504	21.3275557946316
505	21.3729788676942
506	21.4119750404852
507	21.4428038171149
508	21.4650186838029
509	21.4784406085497
510	21.4828905593562
511	21.478189504223
512	21.4641584111508
513	21.4406182481404
514	21.4073899831924
515	21.3642945843075
516	21.311215778166
517	21.2492870798466
518	21.1807928237995
519	21.1080602671071
520	21.0334166668514
521	20.9591892801146
522	20.8877053639789
523	20.8212921755265
524	20.7622769718395
525	20.71298701
526	20.6752376485233
527	20.6487966516564
528	20.6329198850796
529	20.6268632144728
530	20.6298825055163
531	20.6412336238902
532	20.6601724352745
533	20.6859548053494
534	20.717836599795
535	20.7550846181152
536	20.7972588118309
537	20.8442374951874
538	20.8959149691555
539	20.9521855347059
540	21.0129434928096
541	21.0780831444372
