age	CF_Zaffos
479	0.461194171
480	0.459193765
481	0.458067231
482	0.457797967
483	0.457532673
484	0.457270472
485	0.457500382
486	0.457215304
487	0.456581589
488	0.456113101
489	0.455931621
490	0.457779955
491	0.456373764
492	0.452355706
493	0.453262966
494	0.434651149
495	0.434759757
496	0.435593388
497	0.434694183
498	0.434597469
499	0.434452692
500	0.434365329
501	0.433261304
502	0.432844091
503	0.432414876
504	0.431933468
505	0.431454649
506	0.431052566
507	0.430635451
508	0.430153801
509	0.429650931
510	0.429107351
511	0.428165419
512	0.427327106
513	0.426813616
514	0.426636538
515	0.426236731
516	0.425733342
517	0.42523455
518	0.424776122
519	0.424609192
520	0.42421583
521	0.423689261
522	0.422978783
523	0.422998982
524	0.425815119
525	0.425743084
526	0.425589645
527	0.425374449
528	0.425126969
529	0.424736236
530	0.424288937
531	0.424600254
532	0.425960508
533	0.425771443
534	0.42503647
535	0.424328584
536	0.423892753
537	0.423701746
538	0.42458619
539	0.424631748
540	0.425105082
541	0.425213867
