age	SL_Haq
176	62.4078877755504
177	61.5395649648361
178	61.5950913099827
179	61.9849597013151
180	62.1196630291583
181	61.4096941838373
182	59.265546055677
183	55.0977115350025
184	48.3166835121387
185	38.4788893942286
186	26.6352449705106
187	14.7128661228136
188	4.649983372049
189	-1.61517276087194
190	-2.14437175503784
191	5.00061691046267
192	18.1945887885192
193	21.0361666520206
194	12.3476905614783
195	-1.03432992683911
196	-12.5803721190477
197	-20.5181054313578
198	-26.697793189682
199	-32.4760592317064
200	-37.762347907024
201	-42.246089920288
202	-45.6167159761516
203	-47.6133787085534
204	-48.3197716654836
205	-47.9654734225759
206	-46.7805863034905
207	-44.9952126318876
208	-42.8394547314274
209	-40.5434149257701
210	-38.3371955385758
211	-36.4277703565696
212	-34.8355741024581
213	-33.4909120292126
214	-32.3235041881137
215	-31.2630706304421
216	-30.2393314074784
217	-29.1820065705033
218	-28.0208161707974
219	-26.6911755549625
220	-25.1810664590885
221	-23.5068615392183
222	-21.6852106434521
223	-19.7327636198905
224	-17.6661703166338
225	-15.5020805817823
226	-13.2571442634366
227	-10.9480112096968
228	-8.60416541589297
229	-6.36107445104987
230	-4.40644257193999
231	-2.92834074384983
232	-2.11483993206583
233	-2.15401110187447
234	-3.23392521856222
235	-5.54265324741555
236	-9.26826615372092
237	-14.5240023357855
238	-20.7516888671294
239	-27.0387422895639
240	-32.4693801426016
241	-36.2629628674618
242	-38.45203207574
243	-39.3718353518308
244	-39.3581300781565
245	-38.7466736371396
246	-37.8732234112025
247	-37.0735367827677
248	-36.6833711342577
249	-37.0359556965361
250	-38.2736987716031
251	-40.2182271787777
252	-42.6604283747891
253	-45.3911898163667
254	-48.2013989602396
255	-50.881943263137
256	-53.2237101817884
257	-55.0175871729227
258	-56.0544616932694
259	-56.1281239261397
260	-55.2090943758207
261	-53.5433116941368
262	-51.4005046467194
263	-48.9764091318966
264	-46.2546084425752
265	-43.1809013822558
266	-39.7010867544391
267	-35.7609633626256
268	-31.3088241071787
269	-26.461289886438
270	-21.607239987282
271	-17.1603524722939
272	-13.5174604964132
273	-10.7972049269037
274	-8.88986240677693
275	-7.6789521378923
276	-7.04799332210945
277	-6.88050516128799
278	-7.06000685728748
279	-7.47001761220353
280	-8.00537002610025
281	-8.60577710127481
282	-9.2220794112826
283	-9.80511752967901
284	-10.3057320300194
285	-10.6747634858593
