Age	GMST_Judd
67.78419212	25.12849888
67.96370702	25.58378266
68.19410601	24.89300473
68.51525844	25.1707792
69.21103327	24.77952365
69.47310545	24.3827674
70.39559331	24.39296196
70.57684382	24.62576871
71.72786899	24.74528924
71.87468466	25.16214091
72.51348789	25.10658529
73.09919018	25.46956157
73.76813098	25.86655961
73.97212322	26.29587703
74.62053663	26.27440488
74.89661506	26.77789244
75.48125311	26.60490303
76.01561075	26.9184647
76.34997616	27.25380556
77.34548964	27.45415404
77.52989801	27.7974326
78.40869948	27.81639695
78.46448678	28.06658657
79.49285133	28.22043886
80.24332849	28.56805552
80.4733653	29.02088078
81.08507017	28.95733474
81.74688668	29.3269792
81.95015572	29.74082005
82.57656347	29.73605901
82.69200946	30.17480213
83.34176869	30.15185268
84.07464745	30.50532023
84.2297957	30.9132445
84.78232136	31.15602776
85.03467364	30.89441431
85.89946958	31.35865419
87.04690203	31.57724723
87.42526776	31.88743981
88.62457145	32.05395668
88.75504499	32.52983709
89.25629976	32.96223052
89.5788743	32.44143744
89.75612657	33.36406577
89.91945224	32.82723879
90.50259495	33.25339754
90.57308097	34.11839466
90.76972129	33.66182103
91.13795165	34.62536123
91.26790975	34.08785616
91.69911053	35.05289526
91.87428107	34.44619693
92.11409463	34.82691864
92.63746263	35.22198014
93.5934577	35.49771755
94.64069134	34.94916569
94.74690757	35.36347134
95.60647697	34.89938017
95.71876442	34.60003627
96.85223155	34.53557442
97.31135432	34.19502371
98.02952541	34.27358615
98.88235997	33.92861835
99.36858752	33.18155781
99.57683647	33.60608897
100.1199326	32.53184627
100.1254318	33.22144541
100.6531271	32.85586997
100.8665614	31.78120866
100.9675632	32.48426461
101.3090081	31.3840459
101.450684	32.09461032
101.8053415	30.85324956
101.9001849	31.6573673
102.2431048	30.35586162
102.2438933	31.29188412
102.6104533	30.87474857
102.6996586	29.83165351
103.1153192	29.29020386
103.1240757	30.42125218
103.4150272	29.95621532
103.6320718	28.76744422
103.7456197	29.54761564
104.0825481	29.14262396
104.2031827	28.12114361
104.4408559	28.74641796
104.463428	27.68529253
104.7722461	28.35488891
105.0945325	27.95519632
105.2359901	27.06069013
105.4387104	27.59975902
105.7810905	27.2058489
105.8499824	26.47417975
106.2714091	26.85271924
106.7160399	26.45069427
106.9746582	26.0929035
107.7538531	26.03917821
108.9701663	26.02935746
109.7805488	26.3739108
110.4547122	27.21804223
110.4683889	26.75377762
110.9813907	27.55109824
111.2010927	27.17698205
111.5986732	28.1073397
111.9536383	27.69679059
112.0833634	28.61418612
112.4973675	28.8951593
112.5617425	28.23533958
113.1157339	28.61672262
113.1458644	29.47598258
113.377936	28.97338479
113.7098602	29.96422799
113.8507087	29.43966555
114.2684267	30.33628383
114.4517703	29.84792717
114.8282624	30.73550249
114.9682384	30.24903995
115.5657773	30.75493175
115.5716957	31.20328679
116.0029558	31.42460323
116.3191245	31.15101993
117.0277241	31.47891835
117.2723967	31.80164873
118.4614342	31.88970418
119.6803792	31.62621506
119.7549446	31.80642682
120.9964867	31.4811552
122.2128357	31.16211155
123.4938353	30.87850656
124.7500816	30.61054374
125.4356914	29.96958579
125.735946	30.24695447
126.340741	29.87468726
126.6577299	29.09825743
126.9391716	29.51971171
127.5016865	29.14362458
127.5347413	28.56419034
127.9536783	28.82456969
128.117385	28.16469133
128.5580675	28.416072
128.6781726	27.72641055
129.0221787	28.05359256
129.5152341	27.67783988
130.3400595	27.34597069
131.5926679	27.22687993
132.7939748	27.44380756
133.1731766	27.77189198
134.3148144	27.88086824
134.8937601	28.13755077
136.1201129	28.15514163
137.4295172	27.98918484
